created_at,text
2017-11-30,"The six missing trees are described as tall, heavy and cost $400 each. https://t.co/uMcqKncTzU #NovaScotia"
2017-11-30,Three Nova Scotians charged with drug trafficking after Moncton traffic stop https://t.co/5CZcwnl7CE
2017-11-30,"My son would be extremely pleased to see you,"" said Prince William as he shook Santa's hand https://t.co/7XUszNsGbG"
2017-11-30,"Finance Minister Bill Morneau’s father sold 200,000 shares in family company days before capital gains tax boost was announced https://t.co/Ffzsebprpy #cdnpoli"
2017-11-30,"“I cried in the shower when it came out in clumps like that,"" one viewer said  https://t.co/Xzh2AXUPrt"
2017-11-30,"""I will step aside and commit myself to continuing my personal growth, spiritual learning and above all to listening,"" said Simmons https://t.co/WyZzgDXbao"
2017-11-30,‘Lives could have been saved’: #Moncton shooting widow shares victim impact statement https://t.co/4cbFcSgOhg
2017-11-30,"Watch: Carly Sutherland speaks to reporters about her family’s desperate search for help for their son 
https://t.co/GWenuc4lVl"
2017-11-30,Mary Walsh also has a choice response to the belief that women aren't funny https://t.co/QVXeGNhBhD
2017-11-30,Security camera footage released by investigators shows what triggered a massive explosion at a New York cosmetic factory: https://t.co/g9QjKQefMh https://t.co/QqFdOBVtoB
2017-11-30,"Families coping with autism often struggle to gain or maintain access to the tax credit, advocates allege https://t.co/c2stlCNNvn"
2017-11-30,Matt Lauer's comments are clearly audible and were made while the show cut to commercial https://t.co/x7oHOBeRCs
2017-11-30,Researchers found that the vaccine was virtually 100% effective in preventing the disease https://t.co/rRdTKmT1BG
2017-11-30,#NovaScotia man charged with impaired driving after vehicle with toddler inside overturns https://t.co/oZEIgslPk8
2017-11-30,"North Korea: released photos of a new intercontinental ballistic missile it claims can reach any target in the continental U.S.
Trump's response: called Kim Jong Un ""Little Rocket Man"" again
https://t.co/lR9MoX1eQB"
2017-11-30,Prosecutor seeks maximum fine against RCMP in deadly 2014 #Moncton shooting spree https://t.co/vpdrkf8RDa
2017-11-30,"“Certainly to a lot of fans, fandom feels like something that you almost don’t have control over,"" a media and cinema studies professor says https://t.co/u3YWX2mBPz"
2017-11-30,Glace Bay man killed in 2-vehicle crash on Cape Breton highway https://t.co/STCZ0OygwO
2017-11-30,Newfoundland’s Memorial University orders sexual harassment probe at med school https://t.co/lKVFacWulZ
2017-11-30,"Anthony Senerchia Jr., the man who inspired the Ice Bucket Challenge, dies from ALS at age 46 https://t.co/INoNOlOX4I"
2017-11-30,WATCH LIVE: Florida officials provide update on Tampa serial killer arrest https://t.co/vmlXBOpynQ
2017-11-30,Fact check: Is the Liberal government putting Canadians at risk with its approach to returning Islamic State fighters? https://t.co/BRobOStEz3 #cdnpoli
2017-11-30,"“This is very big missile… And I don’t mean ‘Big for North Korea',"" one analyst said https://t.co/2WphfeIFcx"
2017-11-30,Ever have an issue with your cellphone bill? You're not alone. Problems with inaccurate billing shot up 29% last year https://t.co/LLL5AQ554S
2017-11-30,Tomorrow is already December somehow. Here's a look at what's on Global News Morning for Friday: https://t.co/hcLIrGFvbU
2017-11-30,WATCH LIVE: Families of victims killed in gun-related crimes to call on government for tougher gun laws https://t.co/wBkn1QZStM #cdnpoli
2017-11-30,How to avoid turbulence when flying solo this holiday season. https://t.co/XS28zCEoLw
2017-11-30,Tender posted on #NovaScotia’s tender website says municipality exploring purchase of “up to 40 paratransit buses.” https://t.co/OHWLpvQIyy
2017-11-30,LIVE BLOG begins at 10 a.m. when Christopher Garnier murder trial resumes https://t.co/GDWEs7EqFd #Halifax
2017-11-30,#NewBrunswick creates unit to prosecute cases involving intimate partner violence https://t.co/cvF0tpGvRA
2017-11-30,"“The last two days have forced me to take a very hard look at my own troubling flaws,” Matt Lauer said. https://t.co/npAFARrZpS"
2017-11-30,The Bluenose-Ability Film Fest kicks off today. Global News Morning learns about the event after the 8:20 break https://t.co/ZvsVAUBKBn
2017-11-30,"After the 7:50 break author @JtheCanadian explores the impacts of trauma on people's lives w/ her new book ""The Legacy Letters"" https://t.co/JzS2qRfdvR"
2017-11-30,The online edition of #GlobalNewsMorning with @PaulBrothers &amp; @DaveWSquires. https://t.co/4U3ApREMnr
2017-11-30,5 steps to appreciate who you are. https://t.co/rwhdWxjAxd
2017-11-30,"After the 7:20 break, Paul Brothers gets a tour of a new exhibit at St. Patrick's Parish that mark the 100th Anniversary of the Halifax Explosion. https://t.co/NnN7qWj7lJ"
